315.00	311.00	451.00	306.00	457.00	494.00	326.00	502.00	
315.02	311.02	451.00	306.02	457.00	494.01	325.99	502.00	
315.00	311.02	451.00	306.01	457.01	494.01	325.99	501.99	
315.02	311.03	451.00	306.00	457.00	494.01	325.99	502.00	
315.01	311.02	451.00	305.99	457.01	494.01	326.00	501.99	
315.02	311.03	451.00	305.99	457.01	494.02	326.00	501.99	
315.01	311.02	451.00	306.02	457.01	494.00	325.98	502.01	
315.02	311.04	451.00	306.01	457.01	494.01	326.00	502.00	
315.00	311.01	450.99	306.01	457.00	494.00	325.99	502.00	
314.99	311.00	451.00	306.01	457.00	493.99	326.01	501.99	
315.00	311.01	451.00	306.01	457.01	494.02	325.99	501.99	
315.00	311.03	450.99	306.03	457.01	494.01	325.98	502.00	
315.01	311.03	450.99	306.02	457.01	494.01	325.99	502.00	
315.00	311.00	450.99	306.04	457.00	494.01	325.97	502.02	
314.98	311.03	451.00	306.04	457.01	494.00	325.98	502.02	
314.97	311.02	451.00	306.06	457.00	494.00	325.98	502.03	
314.95	311.04	451.00	306.08	457.00	494.01	325.98	502.03	
314.94	311.03	451.00	306.08	457.01	494.01	325.98	502.04	
314.98	311.05	450.99	306.04	457.01	494.01	325.99	502.02	
314.97	311.02	450.99	306.02	457.01	494.00	325.99	502.01	
314.96	311.01	451.00	306.04	457.00	494.00	325.98	502.02	
314.98	311.03	451.01	306.02	457.00	494.01	325.98	502.01	
314.99	311.04	451.00	306.01	457.00	494.01	326.00	502.01	
315.01	311.04	450.99	306.00	457.00	494.00	325.99	502.01	
315.02	311.02	450.97	305.97	457.01	493.98	326.00	502.00	
315.04	311.01	450.96	305.94	457.01	493.99	326.01	502.00	
315.04	311.02	450.96	305.98	457.01	494.00	326.01	502.00	
315.02	311.01	450.97	305.98	457.00	493.99	326.00	502.00	
315.02	311.02	450.97	305.98	457.01	494.00	325.99	502.00	
315.02	311.01	450.97	305.98	457.00	493.99	326.00	502.00	
315.05	311.02	450.97	305.98	457.01	493.99	326.00	501.99	
315.10	311.00	450.96	305.96	457.01	493.98	326.00	501.97	
315.15	310.96	450.96	305.93	457.01	493.97	325.99	501.94	
315.16	310.92	450.96	305.91	457.01	493.97	326.00	501.93	
315.16	310.98	450.96	305.93	457.02	493.99	326.01	501.94	
315.10	310.97	450.96	305.95	457.01	493.98	326.01	501.96	
315.07	310.98	450.96	305.95	456.99	493.97	326.00	501.98	
315.08	310.98	450.96	305.93	457.00	493.97	326.01	501.98	
315.11	310.98	450.94	305.91	457.00	493.97	326.01	501.97	
315.16	310.98	450.90	305.87	457.00	493.94	326.02	501.97	
315.16	310.93	450.88	305.84	457.00	493.90	326.02	501.99	
315.20	310.95	450.86	305.79	456.99	493.88	326.01	502.03	
315.21	310.93	450.84	305.77	456.97	493.84	326.02	502.03	
315.22	310.92	450.81	305.76	456.98	493.84	326.01	502.07	
315.20	310.93	450.82	305.75	456.96	493.83	326.02	502.07	
315.18	310.96	450.82	305.77	456.97	493.84	326.00	502.10	
315.18	310.96	450.82	305.81	456.97	493.83	325.99	502.10	
315.17	310.96	450.84	305.80	456.98	493.84	326.01	502.08	
315.17	310.94	450.85	305.79	456.97	493.86	326.01	502.09	
315.19	310.95	450.84	305.79	456.98	493.86	326.01	502.07	
